ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#TOPIC	Family relationships	subject	Event	Event
CONTENT#TOPIC	Family sagas	subject	Abstract	Abstract
CONTENT#TOPIC	Family secrets	subject	Organization	Organization
CONTENT#TOPIC	Family, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Family-owned business enterprises	subject	Event	Event
CONTENT#TOPIC	Family-owned business enterprises in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fans (Persons)	subject	Person	Person
CONTENT#TOPIC	Fantastic Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fantastic fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fantasy - Series	subject	Abstract	Abstract
CONTENT#TOPIC	Fantasy fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fantasy fiction, English	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Farm life	subject	Abstract	Abstract
CONTENT#TOPIC	Farm life in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Farmers	subject	Person	Person
CONTENT#TOPIC	Fast-day sermons	subject	Event	Event
CONTENT#TOPIC	Fate and fatalism	subject	Personification	Personification
CONTENT#TOPIC	Father Brown (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Father-Son relationship	subject	Event	Event
CONTENT#TOPIC	Father-daughter relationship	subject	Event	Event
CONTENT#TOPIC	Father-son relationship	subject	Event	Event
CONTENT#TOPIC	Fathers	subject	Person	Person
CONTENT#TOPIC	Fathers and daughters	subject	Person	Person
CONTENT#TOPIC	Fathers and daughters in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fathers and daughters, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fathers and sons	subject	Person	Person
CONTENT#TOPIC	Fathers and sons, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fathers of the church	subject	Person	Person
CONTENT#TOPIC	Fathers of the church, Greek	subject	Person	Person
CONTENT#TOPIC	February Revolution (France : 1848)	subject	Event	Event
CONTENT#TOPIC	Female friendship	subject	Relation	Relation
CONTENT#TOPIC	Female friendship in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Female friendship,  fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Feminist fiction, english	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Feminists	subject	Person	Person
CONTENT#TOPIC	Feral children	subject	SocialAgent	
CONTENT#TOPIC	Fibonacci sequence	subject	Abstract	Abstract
CONTENT#TOPIC	Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction (fictional works by one author)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction - Fantasy	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction - General	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction / Fantasy / Epic	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction / Literary	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction Classics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction in English	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction in French	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction in Spanish	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction inEnglish	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction s.	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, Historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, Romance, Contemporary	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, Romance, Contemporary, Life change events	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, Romance, Historical, Regency	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, action & adventure	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, alternative history	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, biographical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, christian, classic & allegory	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, christian, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, christian, historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, classics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, coming of age	subject	InformationObject	
CONTENT#TOPIC	Fiction, crime	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, dystopian	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, erotica, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, espionage	subject	InformationObject	
CONTENT#TOPIC	Fiction, family life	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, family life, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy, contemporary	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy, epic	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy, historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, fantasy, short stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, ghost	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, gothic	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, historical, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, horror	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, humorous	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, humorous, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, legal	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, collections & anthologies	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, hard-boiled	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, international crime & mystery	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, police procedural	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, short stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, traditional	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, mystery & detective, women sleuths	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, occult & supernatural	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, political	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, psychological	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, religious	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, collections & anthologies	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, contemporary	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, fantasy	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, historical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, historical, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, romance, suspense	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, satire	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, science fiction, action & adventure	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, science fiction, general	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, science fiction, hard science fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, sea stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, short stories (single author)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, suspense	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, thrillers, espionage	subject	InformationObject	
CONTENT#TOPIC	Fiction, visionary & metaphysical	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, war & military	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, westerns	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction, women	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fiction: Literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fictional Works	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fictitious Character	subject	Person	Person
CONTENT#TOPIC	Film and video adaptations	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	First Presbyterian Church (Charlotte, N.C.)	subject	Organization	Organization
CONTENT#TOPIC	First loves	subject	Event	Event
CONTENT#TOPIC	First loves in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	First philosophy	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fishers	subject	Abstract	Abstract
CONTENT#TOPIC	Fishing	subject	Event	Event
CONTENT#TOPIC	Fishing boats	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Fishing stories	subject	Event	Event
CONTENT#TOPIC	Fitzgerald, F. Scott	subject	Person	Person
CONTENT#TOPIC	Fitzgerald, f. scott (francis scott), 1896-1940	subject	Person	Person
CONTENT#TOPIC	Fitzwilliam Darcy (Fictional character)	subject	Person	Person
CONTENT#TOPIC	Fitzwilliam Darcy (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Florida, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Flower vending	subject	Organism	Organism
CONTENT#TOPIC	Flowers	subject	Organism	Organism
CONTENT#TOPIC	Flowers, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fluid dynamic measurement	subject	Quality	Quality
CONTENT#TOPIC	Folk literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Folly	subject	Event	Event
CONTENT#TOPIC	Football stories	subject	Abstract	Abstract
CONTENT#TOPIC	For National Curriculum Key Stage 3	subject	InformationObject	
CONTENT#TOPIC	Forced labor	subject	Event	Event
CONTENT#TOPIC	Forecasting	subject	Event	Event
CONTENT#TOPIC	Foreign Language Study	subject	InformationObject	
CONTENT#TOPIC	Foreign relations	subject	Event	Event
CONTENT#TOPIC	Foreign speakers	subject	Person	Person
CONTENT#TOPIC	Forensic pathologists, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Forests and forestry	subject	Collection	Collection
CONTENT#TOPIC	Forsyte family (Fictitious characters)	subject	Organization	Organization
CONTENT#TOPIC	Foundlings	subject	Event	Event
CONTENT#TOPIC	Foundlings in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Fourth dimension	subject	Abstract	Abstract
CONTENT#TOPIC	Fowl, artemis (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	France -- History -- 19th century -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	France in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	France, history, revolution, 1789-1799, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Francis, of assisi, saint, 1182-1226	subject	Person	Person
CONTENT#TOPIC	Frankenstein (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Frankenstein (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Frankenstein's monster (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Fraser, jamie (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Free will	subject	Event	Event
CONTENT#TOPIC	Free will and determinism	subject	Event	Event
CONTENT#TOPIC	Freemasonry	subject	Abstract	Abstract
CONTENT#TOPIC	Freemasons	subject	Abstract	Abstract
CONTENT#TOPIC	French	subject	Abstract	Abstract
CONTENT#TOPIC	French Authors	subject	Person	Person
CONTENT#TOPIC	French Erotic literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French Fables	subject	Abstract	Abstract
CONTENT#TOPIC	French Historical fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French Hymns	subject	Abstract	Abstract
CONTENT#TOPIC	French Love stories	subject	Event	Event
CONTENT#TOPIC	French Novel And Short Story	subject	Event	Event
CONTENT#TOPIC	French Philosophy	subject	Abstract	Abstract
CONTENT#TOPIC	French Poets	subject	Abstract	Abstract
CONTENT#TOPIC	French Revolution	revolution	Event	Event
CONTENT#TOPIC	French Revolution	subject	Event	Event
CONTENT#TOPIC	French Romance fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French Science fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French Short stories	subject	Event	Event
CONTENT#TOPIC	French drama	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French invasion of Russia	war	Event	Event
CONTENT#TOPIC	French language	subject	InformationObject	
CONTENT#TOPIC	French language books	subject	InformationObject	
CONTENT#TOPIC	French language materials	subject	InformationObject	
CONTENT#TOPIC	French letters	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French literature, translations into english	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French literature, women authors	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French-Canadian dialect	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	French-Canadian fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Friends and associates	subject	Person	Person
CONTENT#TOPIC	Friendship	subject	Description	Description
CONTENT#TOPIC	Friendship in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Friendship, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Frontier and pioneer life	subject	Event	Event
CONTENT#TOPIC	Frontier and pioneer life, west (u.s.)	subject	Event	Event
CONTENT#TOPIC	Fugitive slaves	subject	Event	Event
CONTENT#TOPIC	Fugitives from justice	subject	Person	Person
CONTENT#TOPIC	Funeral music	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Funeral rites and ceremonies	subject	Person	Person
CONTENT#TOPIC	Future	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Future life	subject	Quality	Quality
CONTENT#TOPIC	Gaelic language	subject	InformationObject	
CONTENT#TOPIC	Games	subject	Abstract	Abstract
CONTENT#TOPIC	Gandalf (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gardening	subject	Abstract	Abstract
CONTENT#TOPIC	Gardening in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gardens in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gaul, history	subject	Person	Person
CONTENT#TOPIC	Gay rulers	subject	Person	Person
CONTENT#TOPIC	Genealogy	subject	Collection	Collection
CONTENT#TOPIC	General	subject	Event	Event
CONTENT#TOPIC	Generals in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Generals in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Genetic engineering	subject	Abstract	Abstract
CONTENT#TOPIC	Gentry	subject	Collection	Collection
CONTENT#TOPIC	Geography	subject	Abstract	Abstract
CONTENT#TOPIC	Geometry textbooks	subject	Abstract	Abstract
CONTENT#TOPIC	Georgia, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	German	subject	Person	Person
CONTENT#TOPIC	German Romances	subject	Person	Person
CONTENT#TOPIC	German Tales	subject	Person	Person
CONTENT#TOPIC	German fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	German language	subject	InformationObject	
CONTENT#TOPIC	German literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	German literature, translations into english	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	German occupation	subject	Event	Event
CONTENT#TOPIC	German poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Germanic Invasions of Rome (3rd-6th centuries) fast (OCoLC)fst01353189	subject	Event	Event
CONTENT#TOPIC	Germanic literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Germany	subject	Person	Person
CONTENT#TOPIC	Germany in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Germany, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Germany, history, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ghost plays	subject	Abstract	Abstract
CONTENT#TOPIC	Ghost stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ghosts	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ghosts in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ghosts, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gift books	subject	Event	Event
CONTENT#TOPIC	Girls' schools	subject	Person	Person
CONTENT#TOPIC	Girls, biography	subject	Person	Person
CONTENT#TOPIC	Girls, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gladiators	subject	Abstract	Abstract
CONTENT#TOPIC	Glass painting and staining	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Glossaries	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Glossaries, vocabularies	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Glow-in-the-dark books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gold mines and mining	subject	Event	Event
CONTENT#TOPIC	Good and evil	subject	Event	Event
CONTENT#TOPIC	Good earth (Buck, Pearl S.)	subject	Event	Event
CONTENT#TOPIC	Gothic Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gothic architecture	architectural style	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Gothic literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Gothic novels	subject	InformationObject	InformationObject
CONTENT#TOPIC	Gothic revival (Literature)	subject	Event	Event
CONTENT#TOPIC	Governesses	subject	Event	Event
CONTENT#TOPIC	Governesses, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Government investigators	subject	Person	Person
CONTENT#TOPIC	Grandfathers	subject	Person	Person
CONTENT#TOPIC	Grandparent and child	subject	Person	Person
CONTENT#TOPIC	Graphic novels	subject	Quality	Quality
CONTENT#TOPIC	Great Britain	subject	Abstract	Abstract
CONTENT#TOPIC	Great Britain -- History -- Henry VI, 1422-1461 -- Drama	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great Britain -- Literary collections.	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great Britain in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great Britain. Royal Navy	subject	Abstract	Abstract
CONTENT#TOPIC	Great Britain. Sovereign (1558-1603 : Elizabeth I)	subject	Quality	Quality
CONTENT#TOPIC	Great Depression in the United States	economic crisis	Abstract	Abstract
CONTENT#TOPIC	Great Fire, London, England, 1666	subject	Abstract	Abstract
CONTENT#TOPIC	Great Fire, London, England, 1666 in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great britain, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great britain, history	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Great britain, history, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great britain, history, juvenile literature	subject	InformationObject	
CONTENT#TOPIC	Great britain, history, norman period, 1066-1154, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great britain, history, to 449	subject	InformationObject	InformationObject
CONTENT#TOPIC	Great britain, history, wars of the roses, 1455-1485, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Great britain, social conditions	subject	SocialObject	SocialObject
CONTENT#TOPIC	Great britain, social life and customs, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greece -- Biography -- Early works to 1800	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greece, biography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greed	subject	Abstract	Abstract
CONTENT#TOPIC	Greek Education	subject	Event	Event
CONTENT#TOPIC	Greek Epic poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greek Fathers of the church	subject	Person	Person
CONTENT#TOPIC	Greek Gods	subject	Person	Person
CONTENT#TOPIC	Greek Mathematics	subject	Abstract	Abstract
CONTENT#TOPIC	Greek Mythology	subject	Abstract	Abstract
CONTENT#TOPIC	Greek Oracles	subject	Abstract	Abstract
CONTENT#TOPIC	Greek authors	subject	Person	Person
CONTENT#TOPIC	Greek drama	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greek drama (Tragedy)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greek drama, translations into english	subject	Event	Event
CONTENT#TOPIC	Greek essays	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greek language	subject	InformationObject	
CONTENT#TOPIC	Greek language materials	subject	InformationObject	
CONTENT#TOPIC	Greek literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greek poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Greeks	subject	Person	Person
CONTENT#TOPIC	Guardian and ward	subject	Event	Event
CONTENT#TOPIC	Guidebooks	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	H. M. Caldwell Co.	subject	Abstract	Abstract
CONTENT#TOPIC	HISTORY	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	HORROR & GHOST STORIES	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Habits and behavior of Animals	subject	Event	Event
CONTENT#TOPIC	Hail Mary	subject	Person	Person
CONTENT#TOPIC	Handbooks	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Handbooks, manuals	subject	Person	Person
CONTENT#TOPIC	Hannay, richard (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Happy Stamps	subject	Event	Event
CONTENT#TOPIC	Hard times (Dickens)	subject	Situation	Situation
CONTENT#TOPIC	Hard times (Dickens, Charles)	subject	Situation	Situation
CONTENT#TOPIC	Harry Potter	fantasy film character	Abstract	Abstract
CONTENT#TOPIC	Haunted houses	subject	Event	Event
CONTENT#TOPIC	Haunted houses in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Heads of state	subject	Person	Person
CONTENT#TOPIC	Health	subject	Situation	Situation
CONTENT#TOPIC	Heathlands, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Heaven in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hector (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Hecuba (Legendary character)	subject	Abstract	Abstract
CONTENT#TOPIC	Hell in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hellenistic Greek literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Henry IV, King of England, 1367-1413	subject	Person	Person
CONTENT#TOPIC	Henry VI, King of England, 1421-1471	subject	Person	Person
CONTENT#TOPIC	Henry VI, King of England, 1421-1471 -- Drama	subject	Person	Person
CONTENT#TOPIC	Henry vi, king of england, 1421-1471, drama	subject	Person	Person
CONTENT#TOPIC	Henry viii, king of england, 1491-1547, drama	subject	Person	Person
CONTENT#TOPIC	Hercule Poirot (Fictitious Character)	subject	Person	Person
CONTENT#TOPIC	Hercule Poirot (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	High Fantasy	subject	Event	Event
CONTENT#TOPIC	High school students	subject	InformationObject	
CONTENT#TOPIC	High schools	subject	InformationObject	
CONTENT#TOPIC	High schools -- Fiction	subject	InformationObject	
CONTENT#TOPIC	Hippolyta (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	Hippolytus (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	Historians	subject	Person	Person
CONTENT#TOPIC	Historians, biography	subject	Person	Person
CONTENT#TOPIC	Historians, united states	subject	Person	Person
CONTENT#TOPIC	Historical	subject	InformationObject	InformationObject
CONTENT#TOPIC	Historical Chronology	subject	InformationObject	InformationObject
CONTENT#TOPIC	Historical Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Historical drama	subject	InformationObject	InformationObject
CONTENT#TOPIC	Historical fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	"Historical"""	subject	Quality	Quality
CONTENT#TOPIC	Historiography	subject	Abstract	Abstract
CONTENT#TOPIC	History	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	History & Surveys	subject	Event	Event
CONTENT#TOPIC	History & Surveys - Ancient & Classical	subject	Event	Event
CONTENT#TOPIC	History (Juvenile)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	History - General History	subject	Event	Event
CONTENT#TOPIC	History and criticism	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	History of Biblical events	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	History of Law	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	History of ideas, intellectual history	subject	Quality	Quality
CONTENT#TOPIC	History, modern, 20th century	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	History: American	subject	Person	Person
CONTENT#TOPIC	Hold the Dream	subject	Event	Event
CONTENT#TOPIC	Holidays	subject	Abstract	Abstract
CONTENT#TOPIC	Holmes, Sherlock -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Holmes, sherlock (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Holocaust, Jewish (1939-1945)	subject	Abstract	Abstract
CONTENT#TOPIC	Home economics	subject	Abstract	Abstract
CONTENT#TOPIC	Home schooling	subject	Abstract	Abstract
CONTENT#TOPIC	Homeless persons	subject	Person	Person
CONTENT#TOPIC	Homes and haunts	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Hopi Indians	subject	Abstract	Abstract
CONTENT#TOPIC	Horror & Ghost Stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Horror fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Horror stories	subject	Abstract	Abstract
CONTENT#TOPIC	Horror tales, English	subject	Abstract	Abstract
CONTENT#TOPIC	Horror tales--Authorship	subject	Event	Event
CONTENT#TOPIC	Hospitals	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Hostage negotiations	subject	InformationObject	
CONTENT#TOPIC	Household employees	subject	Person	Person
CONTENT#TOPIC	Hudson's Bay Company	subject	Organization	Organization
CONTENT#TOPIC	Hudson's Bay company. [from old catalog]	subject	Organization	Organization
CONTENT#TOPIC	Hugo Award Winner	subject	Person	Person
CONTENT#TOPIC	Human Abnormalities	subject	Person	Person
CONTENT#TOPIC	Human beings	subject	Person	Person
CONTENT#TOPIC	Human rights	subject	Person	Person
CONTENT#TOPIC	Human-animal communication	subject	Person	Person
CONTENT#TOPIC	Human-animal relationships	subject	Person	Person
CONTENT#TOPIC	Humanism	subject	Person	Person
CONTENT#TOPIC	Humanity	subject	Person	Person
CONTENT#TOPIC	Humor (Fiction)	subject	Abstract	Abstract
CONTENT#TOPIC	Humor (Nonfiction)	subject	Abstract	Abstract
CONTENT#TOPIC	Humor, form, essays	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Humorous	subject	Abstract	Abstract
CONTENT#TOPIC	Humorous Stories	subject	Abstract	Abstract
CONTENT#TOPIC	Humorous fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Humorous stories	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Hundred Years' War, 1339-1453	subject	Event	Event
