ASPECT	VALUE	TYPE	DOLCE
CONTENT#TOPIC	Children of divorced parents	subject	Group
CONTENT#TOPIC	Children of murder victims	subject	Group
CONTENT#TOPIC	Children of prisoners	subject	Group
CONTENT#TOPIC	Children of the rich	subject	Group
CONTENT#TOPIC	Children of the rich in fiction	subject	Topic
CONTENT#TOPIC	Children's	subject	Topic
CONTENT#TOPIC	Children's Books - Young Adult Fiction	subject	
CONTENT#TOPIC	Children's Books/Ages 9-12 Fiction	subject	Topic
CONTENT#TOPIC	Children's Books/All Ages	subject	SocialObject
CONTENT#TOPIC	Children's Fiction	subject	Topic
CONTENT#TOPIC	Children's Middle Grade Action & Adventure Books	subject	Topic
CONTENT#TOPIC	Children's Picture Books	subject	
CONTENT#TOPIC	Children's fantasy fiction	subject	SocialObject
CONTENT#TOPIC	Children's fiction	subject	Topic
CONTENT#TOPIC	Children's literature	subject	Topic
CONTENT#TOPIC	Children's plays	subject	SocialObject
CONTENT#TOPIC	Children's plays, English	subject	Topic
CONTENT#TOPIC	Children's poetry	subject	
CONTENT#TOPIC	Children's poetry, American	subject	Topic
CONTENT#TOPIC	Children's poetry, English	subject	Topic
CONTENT#TOPIC	Children's poetry, Scottish	subject	Topic
CONTENT#TOPIC	Children's rights	subject	Topic
CONTENT#TOPIC	Children's songs	subject	Topic
CONTENT#TOPIC	Children's stories	subject	Topic
CONTENT#TOPIC	Children's stories, American	subject	Topic
CONTENT#TOPIC	Children's stories, Danish	subject	Topic
CONTENT#TOPIC	Children's stories, English	subject	Topic
CONTENT#TOPIC	Children's stories, French	subject	Topic
CONTENT#TOPIC	Children's stories, Italian	subject	Topic
CONTENT#TOPIC	Children, fiction	subject	Topic
CONTENT#TOPIC	Children: Babies & Toddlers	subject	
CONTENT#TOPIC	Children: Grades 2-3	subject	
CONTENT#TOPIC	Children: Grades 4-6	subject	Group
CONTENT#TOPIC	Children: Young Adult (Gr. 10-12)	subject	
CONTENT#TOPIC	Childrens Media Tie-In Books	subject	
CONTENT#TOPIC	Childrens stories	subject	InformationEntity
CONTENT#TOPIC	Chile, biography	subject	InformationEntity
CONTENT#TOPIC	Chilean Authors	subject	Person
CONTENT#TOPIC	Chilean Novelists	subject	Group
CONTENT#TOPIC	Chilean Women novelists	subject	Person
CONTENT#TOPIC	Chileans	subject	Person
CONTENT#TOPIC	Chimera (Greek mythology)	subject	Personification
CONTENT#TOPIC	Chimney sweeps	subject	Event
CONTENT#TOPIC	China, fiction	subject	InformationEntity
CONTENT#TOPIC	China, social life and customs	subject	Description
CONTENT#TOPIC	Chinese	subject	Characteristic
CONTENT#TOPIC	Chinese Americans	subject	Person
CONTENT#TOPIC	Chinese Detective and mystery stories	subject	InformationEntity
CONTENT#TOPIC	Chinese Philosophy	subject	Topic
CONTENT#TOPIC	Chinese Taoist literature	subject	InformationEntity
CONTENT#TOPIC	Chinese classics	subject	InformationEntity
CONTENT#TOPIC	Chinese fiction	subject	InformationEntity
CONTENT#TOPIC	Chinese language	subject	SocialObject
CONTENT#TOPIC	Chinese language materials	subject	SocialObject
CONTENT#TOPIC	Chinese literature	subject	InformationEntity
CONTENT#TOPIC	Chinese space program	topic	Organization
CONTENT#TOPIC	Chipewyan language	subject	SocialObject
CONTENT#TOPIC	Chocolate factories	subject	PhysicalObject
CONTENT#TOPIC	Choice	subject	Event
CONTENT#TOPIC	Choice (Psychology)	subject	Event
CONTENT#TOPIC	Choral conductors	subject	Person
CONTENT#TOPIC	Choral conductors in fiction	subject	InformationEntity
CONTENT#TOPIC	Chrestomathies and readers	subject	Group
CONTENT#TOPIC	Christian Grey (Fictitious character)	subject	Personification
CONTENT#TOPIC	Christian Science	subject	Topic
CONTENT#TOPIC	Christian biography	subject	InformationEntity
CONTENT#TOPIC	Christian ethics	subject	InformationEntity
CONTENT#TOPIC	Christian fiction	subject	InformationEntity
CONTENT#TOPIC	Christian fundamentalism	subject	Topic
CONTENT#TOPIC	Christian life	subject	Concept
CONTENT#TOPIC	Christian literature, Early	subject	InformationEntity
CONTENT#TOPIC	Christian literature, Latin (Medieval and modern)	subject	InformationEntity
CONTENT#TOPIC	Christian pilgrims and pilgrimages in literature	subject	Topic
CONTENT#TOPIC	Christian saints	subject	Personification
CONTENT#TOPIC	Christian sociology	subject	Topic
CONTENT#TOPIC	Christianity	subject	SocialObject
CONTENT#TOPIC	Christianity and economics	subject	Topic
CONTENT#TOPIC	Christianity and law	subject	InformationEntity
CONTENT#TOPIC	Christianity and law.	subject	InformationEntity
CONTENT#TOPIC	Christianity, essence, genius, nature	subject	Personification
CONTENT#TOPIC	Christmas	public holiday	Event
CONTENT#TOPIC	Christmas	subject	Event
CONTENT#TOPIC	Christmas dinners	subject	PhysicalObject
CONTENT#TOPIC	Christmas poetry	subject	InformationEntity
CONTENT#TOPIC	Christmas stories	subject	PhysicalObject
CONTENT#TOPIC	Christmas, fiction	subject	InformationEntity
CONTENT#TOPIC	Christmas, poetry	subject	InformationEntity
CONTENT#TOPIC	Chronology	subject	Description
CONTENT#TOPIC	Church buildings	subject	Location
CONTENT#TOPIC	Church history	subject	InformationEntity
CONTENT#TOPIC	Church musicians	subject	Person
CONTENT#TOPIC	Church of England	subject	Organization
CONTENT#TOPIC	Church of England Book of Common Prayer	subject	Organization
CONTENT#TOPIC	Church of Ireland	subject	Organization
CONTENT#TOPIC	Church of Scotland	subject	Organization
CONTENT#TOPIC	Churching of women	subject	Person
CONTENT#TOPIC	Citations	subject	InformationEntity
CONTENT#TOPIC	Citations anglaises	subject	InformationEntity
CONTENT#TOPIC	Cities and towns in fiction	subject	InformationEntity
CONTENT#TOPIC	City and town life	subject	Location
CONTENT#TOPIC	City and town life -- Drama	subject	InformationEntity
CONTENT#TOPIC	City and town life in fiction	subject	InformationEntity
CONTENT#TOPIC	City council members	subject	Person
CONTENT#TOPIC	Civil rights movements	subject	SocialObject
CONTENT#TOPIC	Civil rights workers	subject	Person
CONTENT#TOPIC	Civil war	subject	Event
CONTENT#TOPIC	Civilians in war	subject	Person
CONTENT#TOPIC	Civilization	subject	Collection
CONTENT#TOPIC	Civilization, Medieval	subject	Topic
CONTENT#TOPIC	Civilization, modern, 21st century	subject	Event
CONTENT#TOPIC	Classic	subject	InformationEntity
CONTENT#TOPIC	Classic Literature	subject	InformationEntity
CONTENT#TOPIC	Classic fiction	subject	InformationEntity
CONTENT#TOPIC	Classic literature	subject	InformationEntity
CONTENT#TOPIC	Classic-Classical Literature	subject	InformationEntity
CONTENT#TOPIC	Classical Literature	subject	InformationEntity
CONTENT#TOPIC	Classical Mythology	subject	Collection
CONTENT#TOPIC	Classical biography	subject	InformationEntity
CONTENT#TOPIC	Classical literature	subject	InformationEntity
CONTENT#TOPIC	Classical school of economics	subject	Organization
CONTENT#TOPIC	Classicists	subject	Person
CONTENT#TOPIC	Classics	subject	Topic
CONTENT#TOPIC	Clergy	subject	Collection
CONTENT#TOPIC	Clergy in fiction	subject	InformationEntity
CONTENT#TOPIC	Clergy, fiction	subject	InformationEntity
CONTENT#TOPIC	Coal miners	subject	Person
CONTENT#TOPIC	Coal mines and mining	subject	Event
CONTENT#TOPIC	Cocktail servers	subject	Person
CONTENT#TOPIC	Code and cipher stories	subject	InformationEntity
CONTENT#TOPIC	Cold War	subject	Event
CONTENT#TOPIC	Cold cases (Criminal investigation)	subject	Event
CONTENT#TOPIC	Collected works	subject	Event
CONTENT#TOPIC	Collection and preservation	subject	Event
CONTENT#TOPIC	College presidents	subject	Person
CONTENT#TOPIC	College stories	subject	Topic
CONTENT#TOPIC	College students	subject	Person
CONTENT#TOPIC	College teachers	subject	Person
CONTENT#TOPIC	College teachers, fiction	subject	InformationEntity
CONTENT#TOPIC	Colonies	subject	System
CONTENT#TOPIC	Colonists	subject	Person
CONTENT#TOPIC	Colonization	subject	Event
CONTENT#TOPIC	Colosseum (Rome, Italy)	subject	Location
CONTENT#TOPIC	Comic and Graphic Books	subject	Person
CONTENT#TOPIC	Comic books, strips	subject	Person
CONTENT#TOPIC	Comics & Graphic Novels	subject	InformationEntity
CONTENT#TOPIC	Comics & graphic novels, fantasy	subject	InformationEntity
CONTENT#TOPIC	Comics & graphic novels, historical fiction	subject	InformationEntity
CONTENT#TOPIC	Comics & graphic novels, literary	subject	PhysicalObject
CONTENT#TOPIC	Comics & graphic novels, science fiction	subject	InformationEntity
CONTENT#TOPIC	Coming of age	subject	Event
CONTENT#TOPIC	Coming of age, fiction	subject	Topic
CONTENT#TOPIC	Commentaries	subject	Person
CONTENT#TOPIC	Common Law	subject	System
CONTENT#TOPIC	Communism	subject	System
CONTENT#TOPIC	Communism in literature	subject	InformationEntity
CONTENT#TOPIC	Community life	subject	Collection
CONTENT#TOPIC	Comparative Literature	subject	InformationEntity
CONTENT#TOPIC	Comparative civilization	subject	Collection
CONTENT#TOPIC	Compends. [from old catalog]	subject	Event
CONTENT#TOPIC	Competition	subject	Event
CONTENT#TOPIC	Composers	subject	Person
CONTENT#TOPIC	Computer engineers	subject	Person
CONTENT#TOPIC	Computers	subject	PhysicalObject
CONTENT#TOPIC	Concentration camps in fiction	subject	InformationEntity
CONTENT#TOPIC	Condition of slaves	subject	Topic
CONTENT#TOPIC	Conduct of life	subject	Event
CONTENT#TOPIC	Conduct of life, early works to 1800	subject	Event
CONTENT#TOPIC	Conduct of life, fiction	subject	InformationEntity
CONTENT#TOPIC	Conflict of generations	subject	Collection
CONTENT#TOPIC	Conjoined twins	subject	Person
CONTENT#TOPIC	Conservative Party	subject	Organization
CONTENT#TOPIC	Conspiracies in fiction	subject	InformationEntity
CONTENT#TOPIC	Constitution of Athens	subject	System
CONTENT#TOPIC	Constitutional history, united states, sources	subject	InformationEntity
CONTENT#TOPIC	Constitutional law, united states	subject	InformationEntity
CONTENT#TOPIC	Contemporary	subject	Person
CONTENT#TOPIC	Contemporary Romance	subject	Person
CONTENT#TOPIC	Contemporary Women	subject	Person
CONTENT#TOPIC	Continental european drama (dramatic works by one author)	subject	InformationEntity
CONTENT#TOPIC	Continental european fiction (fictional works by one author)	subject	InformationEntity
CONTENT#TOPIC	Contributions in discoveries (in geography)	subject	Event
CONTENT#TOPIC	Contributions in theater	subject	Event
CONTENT#TOPIC	Controversial literature	subject	InformationEntity
CONTENT#TOPIC	Core	subject	Description
CONTENT#TOPIC	Corleone family (Fictitious characters)	subject	Collection
CONTENT#TOPIC	Cornwall (England : County)	subject	Location
CONTENT#TOPIC	Cornwall (england : county), fiction	subject	InformationEntity
CONTENT#TOPIC	Corporations	subject	Organization
CONTENT#TOPIC	Correspondence	subject	Event
CONTENT#TOPIC	Corrupt practices	subject	Event
CONTENT#TOPIC	Cosmology	subject	Topic
CONTENT#TOPIC	Cosmology, ancient	subject	Topic
CONTENT#TOPIC	Cossacks	subject	Person
CONTENT#TOPIC	Country homes	subject	PhysicalObject
CONTENT#TOPIC	Country homes,  fiction	subject	InformationEntity
CONTENT#TOPIC	Country life	subject	Location
CONTENT#TOPIC	Country life in fiction	subject	InformationEntity
CONTENT#TOPIC	Country life, fiction	subject	InformationEntity
CONTENT#TOPIC	Country life, great britain	subject	Event
CONTENT#TOPIC	Courage, fiction	subject	Topic
CONTENT#TOPIC	Courtesans in fiction	subject	InformationEntity
CONTENT#TOPIC	Courtly love	subject	Event
CONTENT#TOPIC	Courts and courtiers	subject	Collection
CONTENT#TOPIC	Courts and courtiers -- Drama	subject	Collection
CONTENT#TOPIC	Courtship	subject	Relation
CONTENT#TOPIC	Courtship in fiction	subject	InformationEntity
CONTENT#TOPIC	Covenanteers	subject	Group
CONTENT#TOPIC	Covenanters	subject	Group
CONTENT#TOPIC	Covenanters in fiction	subject	InformationEntity
CONTENT#TOPIC	Crawford Municipal Art Gallery	subject	Organization
CONTENT#TOPIC	Creation	subject	Event
CONTENT#TOPIC	Cressida (Fictitious character)	subject	Personification
CONTENT#TOPIC	Crewe, sara (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Crime & Mystery	subject	Event
CONTENT#TOPIC	Crime Fiction	subject	InformationEntity
CONTENT#TOPIC	Crime and criminals	subject	Event
CONTENT#TOPIC	Crime, fiction	subject	InformationEntity
CONTENT#TOPIC	Crimes against	subject	Event
CONTENT#TOPIC	Criminal Evidence	subject	Event
CONTENT#TOPIC	Criminal investigation	subject	Event
CONTENT#TOPIC	Criminal justice, Administration of	subject	Event
CONTENT#TOPIC	Criminal law	subject	InformationEntity
CONTENT#TOPIC	Criminals -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Criminals in fiction	subject	InformationEntity
CONTENT#TOPIC	Criminals, fiction	subject	InformationEntity
CONTENT#TOPIC	Criminology	subject	Event
CONTENT#TOPIC	Criticism and interpretation	subject	Person
CONTENT#TOPIC	Criticism, interpretation	subject	Event
CONTENT#TOPIC	Criticism, textual	subject	Activity
CONTENT#TOPIC	Cross, alex (fictitious character), fiction	subject	InformationEntity
CONTENT#TOPIC	Cryptographers	subject	Person
CONTENT#TOPIC	Cryptographes	subject	Person
CONTENT#TOPIC	Culloden, Battle of, Scotland, 1746	subject	Event
CONTENT#TOPIC	Cultural Revolution	revolution	Event
CONTENT#TOPIC	Culture	subject	SocialObject
CONTENT#TOPIC	Culture conflict	subject	Event
CONTENT#TOPIC	Culture conflict in fiction	subject	InformationEntity
CONTENT#TOPIC	DICTIONARY	subject	InformationEntity
CONTENT#TOPIC	DRAMA / English, Irish, Scottish, Welsh	subject	InformationEntity
CONTENT#TOPIC	Daily Express	subject	InformationEntity
CONTENT#TOPIC	Daughters	subject	Person
CONTENT#TOPIC	Dead	subject	Event
CONTENT#TOPIC	Death	subject	Event
CONTENT#TOPIC	Death & Dying	subject	Event
CONTENT#TOPIC	Death and burial	subject	Event
CONTENT#TOPIC	Death in fiction	subject	InformationEntity
CONTENT#TOPIC	Death, fiction	subject	InformationEntity
CONTENT#TOPIC	Deception	subject	Event
CONTENT#TOPIC	Decoration and ornament	subject	Event
CONTENT#TOPIC	Decoration and ornament, victorian style	subject	Event
CONTENT#TOPIC	Decorative arts	subject	Topic
CONTENT#TOPIC	Dejah Thoris (Fictitious character)	subject	Personification
CONTENT#TOPIC	Delaware Indians in fiction	subject	InformationEntity
CONTENT#TOPIC	Democracy	subject	System
CONTENT#TOPIC	Demonology	subject	Topic
CONTENT#TOPIC	Dentists	subject	Person
CONTENT#TOPIC	Depressions	subject	Event
CONTENT#TOPIC	Description and travel	subject	Person
CONTENT#TOPIC	Description and travel. [from old catalog]	subject	Person
CONTENT#TOPIC	Descriptions and travel	subject	Event
CONTENT#TOPIC	Design, decorative	subject	Event
CONTENT#TOPIC	Destruction and pillage	subject	Event
CONTENT#TOPIC	Detective	subject	Person
CONTENT#TOPIC	Detective Fiction	subject	Topic
CONTENT#TOPIC	Detective Rizzoli, Jane (Fictitious character)	subject	Personification
CONTENT#TOPIC	Detective and mystery fiction	subject	InformationEntity
CONTENT#TOPIC	Detective and mystery stories	subject	Person
CONTENT#TOPIC	Detective and mystery stories, American	subject	Topic
CONTENT#TOPIC	Detective and mystery stories, English	subject	Person
CONTENT#TOPIC	Detective stories	subject	InformationEntity
CONTENT#TOPIC	Detectives	subject	Person
CONTENT#TOPIC	Determination in teenage boys	subject	SocialObject
CONTENT#TOPIC	Devil	subject	Personification
CONTENT#TOPIC	Devil in fiction	subject	Personification
CONTENT#TOPIC	Devotional Meditations	subject	Person
CONTENT#TOPIC	Devotional literature	subject	InformationEntity
CONTENT#TOPIC	Devotional literature. [from old catalog]	subject	InformationEntity
CONTENT#TOPIC	Diana, Princess of Wales, 1961-	subject	Person
CONTENT#TOPIC	Diana, princess of wales, 1961-1997	subject	Person
CONTENT#TOPIC	Diaries, fiction	subject	InformationEntity
CONTENT#TOPIC	Diary Of A Wimpy Kid Book 06 Cabin Fever	subject	InformationEntity
CONTENT#TOPIC	Diary fiction	subject	InformationEntity
CONTENT#TOPIC	Diary novels	subject	InformationEntity
CONTENT#TOPIC	Dick and Jane	subject	Person
CONTENT#TOPIC	Dickson McCunn (Fictitious character)	subject	Personification
CONTENT#TOPIC	Discoveries (in geography)	subject	Event
CONTENT#TOPIC	Discoveries in geography	subject	Event
CONTENT#TOPIC	Discovery and exploration	subject	Event
CONTENT#TOPIC	Discworld (Imaginary place)	subject	Location
CONTENT#TOPIC	Discworld (imaginary place), fiction	subject	InformationEntity
CONTENT#TOPIC	Disease Outbreaks	subject	Event
CONTENT#TOPIC	Diseases and pests	subject	Organism
CONTENT#TOPIC	Divine office	subject	Concept
CONTENT#TOPIC	Divorced men	subject	Person
CONTENT#TOPIC	Divorced women	subject	Person
CONTENT#TOPIC	Doctrinal and controversial works	subject	Event
CONTENT#TOPIC	Dodgson, Charles Lutwidge, 1832-1898 (English mathematician and author)	subject	Person
CONTENT#TOPIC	Dogs, fiction	subject	InformationEntity
CONTENT#TOPIC	Dolittle, doctor (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Domestic	subject	Person
CONTENT#TOPIC	Domestic animals	subject	Organism
CONTENT#TOPIC	Domestic fiction	subject	InformationEntity
CONTENT#TOPIC	Domestic relations	subject	Event
CONTENT#TOPIC	Domestics	subject	Person
CONTENT#TOPIC	Dominance (Psychology)	subject	SocialObject
CONTENT#TOPIC	Dominican Americans	subject	Person
CONTENT#TOPIC	Don Quixote (Fictitious character)	subject	Personification
CONTENT#TOPIC	Dorothy Gale (Fictitious character)	subject	Personification
CONTENT#TOPIC	Drama (dramatic works by one author)	subject	InformationEntity
CONTENT#TOPIC	Drama in Spanish	subject	Person
CONTENT#TOPIC	Dramatic production	subject	Event
CONTENT#TOPIC	Dramatic works	subject	Event
CONTENT#TOPIC	Drawing	subject	Activity
CONTENT#TOPIC	Dreams	subject	Event
CONTENT#TOPIC	Drug abuse	subject	Event
CONTENT#TOPIC	Drug addiction	subject	Event
CONTENT#TOPIC	Drug traffic	subject	Event
CONTENT#TOPIC	Dudley, Amy Robsart, in fiction	subject	Personification
CONTENT#TOPIC	Dutch Americans	subject	Person
CONTENT#TOPIC	Dutch fiction	subject	InformationEntity
CONTENT#TOPIC	Dutch literature	subject	InformationEntity
CONTENT#TOPIC	Dwarves	subject	Personification
CONTENT#TOPIC	Dysfunctional families	subject	Organization
CONTENT#TOPIC	Dystopian fiction	subject	InformationEntity
CONTENT#TOPIC	ELT graded readers	subject	
CONTENT#TOPIC	Early America	subject	TimeInterval
CONTENT#TOPIC	Early Christian literature	subject	InformationEntity
CONTENT#TOPIC	Early Modern and Elizabethan English Drama	subject	Event
CONTENT#TOPIC	Early accounts to 1600	subject	Event
CONTENT#TOPIC	Early church	subject	PhysicalObject
CONTENT#TOPIC	Early modern	subject	TimeInterval
CONTENT#TOPIC	Early modern and Elizabethan	subject	TimeInterval
CONTENT#TOPIC	Early works to 1700	subject	Event
CONTENT#TOPIC	Early works to 1800	subject	Event
CONTENT#TOPIC	Early works to 1900	subject	Event
CONTENT#TOPIC	Early works to1800	subject	Event
CONTENT#TOPIC	Earth	subject	Location
CONTENT#TOPIC	Earth in fiction	subject	InformationEntity
CONTENT#TOPIC	Earthquakes	subject	Event
CONTENT#TOPIC	East Indians	subject	Person
CONTENT#TOPIC	East and West	subject	Location
CONTENT#TOPIC	East and West in fiction	subject	InformationEntity
CONTENT#TOPIC	Easy	subject	Event
CONTENT#TOPIC	Eccentrics and eccentricities	subject	Person
CONTENT#TOPIC	Economic conditions	subject	SocialObject
CONTENT#TOPIC	Economics	subject	Topic
CONTENT#TOPIC	Economics -- Psychological aspects	subject	Topic
CONTENT#TOPIC	Economics -- Sociological aspects	subject	Topic
CONTENT#TOPIC	Economics, philosophy	subject	Topic
CONTENT#TOPIC	Education	subject	Event
CONTENT#TOPIC	Education, early works to 1800	subject	Event
CONTENT#TOPIC	Education, great britain	subject	Event
CONTENT#TOPIC	Education, pakistan	subject	Event
CONTENT#TOPIC	Educators, united states	subject	Person
CONTENT#TOPIC	Edward Cullen (Fictitious character)	subject	Personification
CONTENT#TOPIC	Egypt in fiction	subject	InformationEntity
CONTENT#TOPIC	Egypt, history, fiction	subject	InformationEntity
CONTENT#TOPIC	Egyptian Mythology	subject	Topic
CONTENT#TOPIC	Egyptologists	subject	Person
CONTENT#TOPIC	Election	subject	Event
CONTENT#TOPIC	Elections	subject	Person
CONTENT#TOPIC	Electra (Greek mythology)	subject	Personification
CONTENT#TOPIC	Electronic books	subject	InformationEntity
CONTENT#TOPIC	Electronic publications	subject	Event
CONTENT#TOPIC	Elegiac poetry, Latin (Medieval and modern)	subject	Person
CONTENT#TOPIC	Eleven-year-old girls	subject	Person
CONTENT#TOPIC	Elizabeth Bennet (Fictional character)	subject	Personification
CONTENT#TOPIC	Elizabeth Bennet (Fictitious character)	subject	Personification
CONTENT#TOPIC	Elizabeth, -- Queen, consort of Edward IV, King of England, -- 1437?-1492 -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Elves	subject	Personification
CONTENT#TOPIC	Embossing (Printing)	subject	Event
CONTENT#TOPIC	Emotionally disturbed teenage boys	subject	Group
CONTENT#TOPIC	Emotions, fiction	subject	InformationEntity
CONTENT#TOPIC	End of the world	subject	PhysicalObject
CONTENT#TOPIC	End of the world -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Endurance (Ship : A171)	subject	PhysicalObject
CONTENT#TOPIC	Endurance (Ship)	subject	PhysicalObject
CONTENT#TOPIC	England -- Fiction	subject	InformationEntity
CONTENT#TOPIC	England Gothic fiction	subject	InformationEntity
CONTENT#TOPIC	England in fiction	subject	InformationEntity
CONTENT#TOPIC	England, fiction	subject	InformationEntity
CONTENT#TOPIC	English	subject	SocialObject
CONTENT#TOPIC	English & irish literature anthologies	subject	InformationEntity
CONTENT#TOPIC	English Adventure stories	subject	Topic
CONTENT#TOPIC	English Art	subject	Topic
CONTENT#TOPIC	English Authors	subject	Person
CONTENT#TOPIC	English Catechisms	subject	InformationEntity
CONTENT#TOPIC	English Children's fiction	subject	Topic
CONTENT#TOPIC	English Children's plays	subject	InformationEntity
CONTENT#TOPIC	English Children's stories	subject	
CONTENT#TOPIC	English Christian fiction	subject	InformationEntity
CONTENT#TOPIC	English Christian poetry	subject	InformationEntity
CONTENT#TOPIC	English Christmas stories	subject	Topic
CONTENT#TOPIC	English Civil War	subject	Event
CONTENT#TOPIC	English Common Law	subject	System
CONTENT#TOPIC	English Detective and mystery stories	subject	Topic
CONTENT#TOPIC	English Detectives	subject	Group
CONTENT#TOPIC	English Devotional literature	subject	InformationEntity
CONTENT#TOPIC	English Domestic fiction	subject	InformationEntity
CONTENT#TOPIC	English Dramatists	subject	Person
CONTENT#TOPIC	English Engraving	subject	Event
CONTENT#TOPIC	English Epic poetry	subject	InformationEntity
CONTENT#TOPIC	English Erotic stories	subject	Topic
CONTENT#TOPIC	English Fables	subject	InformationEntity
CONTENT#TOPIC	English Fantasy fiction	subject	InformationEntity
CONTENT#TOPIC	English Fantasy poetry	subject	Topic
CONTENT#TOPIC	English Fiction	subject	InformationEntity
CONTENT#TOPIC	English Ghost stories	subject	Topic
CONTENT#TOPIC	English Historical drama	subject	InformationEntity
CONTENT#TOPIC	English Historical fiction	subject	InformationEntity
CONTENT#TOPIC	English Horror tales	subject	Topic
CONTENT#TOPIC	English Humorous stories	subject	Topic
CONTENT#TOPIC	English Hymns	subject	Topic
CONTENT#TOPIC	English Language Short stories	subject	Topic
CONTENT#TOPIC	English Love poetry	subject	Event
CONTENT#TOPIC	English Love stories	subject	Event
CONTENT#TOPIC	English Manuscripts	subject	Person
CONTENT#TOPIC	English Narrative poetry	subject	Event
CONTENT#TOPIC	English National characteristics	subject	Event
CONTENT#TOPIC	English Nonsense verses	subject	Topic
CONTENT#TOPIC	English Novelists	subject	Person
CONTENT#TOPIC	English Philosophy	subject	Topic
CONTENT#TOPIC	English Picaresque literature	subject	InformationEntity
CONTENT#TOPIC	English Plays	subject	InformationEntity
CONTENT#TOPIC	English Poets	subject	Group
CONTENT#TOPIC	English Political fiction	subject	InformationEntity
CONTENT#TOPIC	English Psychological fiction	subject	InformationEntity
CONTENT#TOPIC	English Quotations	subject	Event
CONTENT#TOPIC	English Romance fiction	subject	InformationEntity
CONTENT#TOPIC	English Romances	subject	Person
CONTENT#TOPIC	English Satire	subject	Topic
CONTENT#TOPIC	English Science fiction	subject	InformationEntity
CONTENT#TOPIC	English Sea poetry	subject	InformationEntity
CONTENT#TOPIC	English Sea stories	subject	InformationEntity
CONTENT#TOPIC	English Sermons	subject	InformationEntity
CONTENT#TOPIC	English Short stories	subject	Event
CONTENT#TOPIC	English Sonnets	subject	InformationEntity
CONTENT#TOPIC	English Translations	subject	Event
CONTENT#TOPIC	English Villages	subject	Topic
CONTENT#TOPIC	English War stories	subject	Event
CONTENT#TOPIC	English Women novelists	subject	Person
CONTENT#TOPIC	English Women poets	subject	Person
CONTENT#TOPIC	English Young adult drama	subject	Topic
CONTENT#TOPIC	English Young adult poetry	subject	Topic
CONTENT#TOPIC	English diaries	subject	InformationEntity
CONTENT#TOPIC	English drama	subject	InformationEntity
CONTENT#TOPIC	English drama (Comedy)	subject	InformationEntity
CONTENT#TOPIC	English drama (collections), early modern and elizabethan, 1500-1600	subject	Topic
CONTENT#TOPIC	English drama -- 17th century	subject	InformationEntity
CONTENT#TOPIC	English essays	subject	InformationEntity
CONTENT#TOPIC	English fiction	subject	InformationEntity
CONTENT#TOPIC	English language	subject	SocialObject
CONTENT#TOPIC	English language readers	subject	SocialObject
CONTENT#TOPIC	English life	subject	Concept
CONTENT#TOPIC	English literature	subject	InformationEntity
CONTENT#TOPIC	English literature (collections)	subject	InformationEntity
CONTENT#TOPIC	English literature, fiction	subject	InformationEntity
CONTENT#TOPIC	English literature, history and criticism	subject	InformationEntity
CONTENT#TOPIC	English literature.	subject	InformationEntity
CONTENT#TOPIC	English literature: Shakespeare criticism	subject	InformationEntity
CONTENT#TOPIC	English literature: Shakespeare texts	subject	InformationEntity
CONTENT#TOPIC	English national characteristics in fiction	subject	InformationEntity
CONTENT#TOPIC	English poetry	subject	InformationEntity
CONTENT#TOPIC	English poetry (collections), 19th century	subject	InformationEntity
CONTENT#TOPIC	English poetry, history and criticism	subject	InformationEntity
CONTENT#TOPIC	English prose literature	subject	InformationEntity
CONTENT#TOPIC	English wit and humor	subject	Topic
CONTENT#TOPIC	English, Irish, Scottish, Welsh	subject	Group
CONTENT#TOPIC	Entertainers	subject	Person
CONTENT#TOPIC	Entrepreneurship	subject	SocialObject
CONTENT#TOPIC	Environmental aspects	subject	Topic
CONTENT#TOPIC	Epic Fiction	subject	InformationEntity
CONTENT#TOPIC	Epic Literature	subject	InformationEntity
CONTENT#TOPIC	Epic fiction	subject	InformationEntity
CONTENT#TOPIC	Epic literature	subject	InformationEntity
CONTENT#TOPIC	Epic poetry	subject	InformationEntity
CONTENT#TOPIC	Epidemics	subject	Topic
CONTENT#TOPIC	Epigrams	subject	InformationEntity
CONTENT#TOPIC	Epistemology	subject	Topic
CONTENT#TOPIC	Epistolary fiction	subject	InformationEntity
CONTENT#TOPIC	Erotic stories	subject	InformationEntity
CONTENT#TOPIC	Eruption, 79	subject	Event
CONTENT#TOPIC	Eschatology	subject	Topic
CONTENT#TOPIC	Essays Classic Literature	subject	InformationEntity
CONTENT#TOPIC	Essence, genius, nature	subject	Description
CONTENT#TOPIC	Essex (Ship)	subject	PhysicalObject
CONTENT#TOPIC	Essex (Whaleship)	subject	PhysicalObject
CONTENT#TOPIC	Ethics, ancient	subject	Topic
CONTENT#TOPIC	Ethics, greece	subject	Topic
CONTENT#TOPIC	Ethiopia, fiction	subject	InformationEntity
CONTENT#TOPIC	Ethnography of America	subject	Topic
CONTENT#TOPIC	Europe in fiction	subject	InformationEntity
CONTENT#TOPIC	Europe, fiction	subject	InformationEntity
